model,threshold,cost,true_negatives,false_positives,false_negatives,true_positives,precision,recall,f1
Logistic Regression,0.552046783625731,2859.0,2673,859,400,568,0.39803784162578837,0.5867768595041323,0.474321503131524
Logistic Regression,0.5570175438596491,2858.0,2694,838,404,564,0.40228245363766046,0.5826446280991735,0.4759493670886076
Logistic Regression,0.5619883040935673,2869.0,2713,819,410,558,0.40522875816993464,0.5764462809917356,0.4759061833688699
Logistic Regression,0.5669590643274853,2867.0,2730,802,413,555,0.4089904200442152,0.5733471074380165,0.4774193548387097
Logistic Regression,0.5719298245614035,2878.0,2739,793,417,551,0.4099702380952381,0.5692148760330579,0.47664359861591693
Logistic Regression,0.5769005847953216,2893.0,2749,783,422,546,0.4108352144469526,0.5640495867768595,0.4754026991728341
Logistic Regression,0.5818713450292398,2932.0,2760,772,432,536,0.40978593272171254,0.5537190082644629,0.4710017574692443
Logistic Regression,0.5868421052631579,2930.0,2777,755,435,533,0.4138198757763975,0.5506198347107438,0.4725177304964539
Logistic Regression,0.591812865497076,2949.0,2798,734,443,525,0.4169976171564734,0.5423553719008265,0.4714863044454423
Logistic Regression,0.5967836257309942,2941.0,2816,716,445,523,0.42211460855528654,0.5402892561983471,0.4739465337562302
Logistic Regression,0.6017543859649123,2941.0,2836,696,449,519,0.4271604938271605,0.5361570247933884,0.4754924415941365
Logistic Regression,0.6067251461988304,2989.0,2848,684,461,507,0.4256926952141058,0.5237603305785123,0.4696618805002316
Logistic Regression,0.6116959064327485,2999.0,2863,669,466,502,0.4286934244235696,0.518595041322314,0.4693782141187471
Logistic Regression,0.6166666666666667,3002.0,2880,652,470,498,0.4330434782608696,0.5144628099173554,0.4702549575070821
Logistic Regression,0.6216374269005848,3007.0,2900,632,475,493,0.43822222222222224,0.5092975206611571,0.4710941232680363
Logistic Regression,0.626608187134503,3011.0,2916,616,479,489,0.4425339366515837,0.5051652892561983,0.4717800289435601
Logistic Regression,0.631578947368421,3027.0,2935,597,486,482,0.44670991658943465,0.49793388429752067,0.47093307278944796
Logistic Regression,0.6365497076023392,3073.0,2949,583,498,470,0.44634377967711303,0.4855371900826446,0.46511627906976744
Logistic Regression,0.6415204678362573,3094.0,2973,559,507,461,0.4519607843137255,0.4762396694214876,0.46378269617706236
Logistic Regression,0.6464912280701754,3130.0,2997,535,519,449,0.4563008130081301,0.46384297520661155,0.4600409836065574
Logistic Regression,0.6514619883040935,3153.0,3014,518,527,441,0.45985401459854014,0.4555785123966942,0.4577062791904515
Logistic Regression,0.6564327485380117,3195.0,3032,500,539,429,0.46178686759956944,0.4431818181818182,0.45229309435951504
Logistic Regression,0.6614035087719298,3196.0,3046,486,542,426,0.46710526315789475,0.44008264462809915,0.4531914893617021
Logistic Regression,0.666374269005848,3224.0,3053,479,549,419,0.4665924276169265,0.43285123966942146,0.4490889603429796
Logistic Regression,0.671345029239766,3243.0,3064,468,555,413,0.46878547105561863,0.42665289256198347,0.44672796106003243
Logistic Regression,0.6763157894736842,3255.0,3082,450,561,407,0.4749124854142357,0.42045454545454547,0.44602739726027396
Logistic Regression,0.6812865497076023,3261.0,3116,416,569,399,0.48957055214723927,0.4121900826446281,0.4475602916432978
Logistic Regression,0.6862573099415205,3315.0,3127,405,582,386,0.4879898862199747,0.3987603305785124,0.4388857305287095
Logistic Regression,0.6912280701754386,3321.0,3146,386,587,381,0.49674054758800523,0.39359504132231404,0.439193083573487
Logistic Regression,0.6961988304093567,3322.0,3160,372,590,378,0.504,0.390495867768595,0.440046565774156
Logistic Regression,0.7011695906432749,3346.0,3171,361,597,371,0.5068306010928961,0.38326446280991733,0.4364705882352941
Logistic Regression,0.706140350877193,3394.0,3188,344,610,358,0.50997150997151,0.36983471074380164,0.4287425149700599
Logistic Regression,0.7111111111111111,3429.0,3198,334,619,349,0.5109809663250366,0.3605371900826446,0.4227740763173834
Logistic Regression,0.7160818713450292,3473.0,3214,318,631,337,0.5145038167938931,0.3481404958677686,0.4152803450400493
Logistic Regression,0.7210526315789474,3496.0,3231,301,639,329,0.5222222222222223,0.33987603305785125,0.4117647058823529
Logistic Regression,0.7260233918128655,3531.0,3251,281,650,318,0.5308848080133556,0.3285123966942149,0.40587109125717935
Logistic Regression,0.7309941520467836,3568.0,3259,273,659,309,0.5309278350515464,0.31921487603305787,0.3987096774193548
Logistic Regression,0.7359649122807017,3583.0,3274,258,665,303,0.5401069518716578,0.3130165289256198,0.39633747547416615
Logistic Regression,0.7409356725146199,3620.0,3282,250,674,294,0.5404411764705882,0.3037190082644628,0.3888888888888889
Logistic Regression,0.745906432748538,3661.0,3291,241,684,284,0.540952380952381,0.29338842975206614,0.3804420629604823
Logistic Regression,0.7508771929824561,3691.0,3311,221,694,274,0.5535353535353535,0.2830578512396694,0.3745727956254272
Logistic Regression,0.7558479532163742,3728.0,3324,208,704,264,0.559322033898305,0.2727272727272727,0.36666666666666664
Logistic Regression,0.7608187134502924,3776.0,3336,196,716,252,0.5625,0.2603305785123967,0.3559322033898305
Logistic Regression,0.7657894736842105,3813.0,3349,183,726,242,0.5694117647058824,0.25,0.3474515434314429
Logistic Regression,0.7707602339181286,3856.0,3361,171,737,231,0.5746268656716418,0.23863636363636365,0.3372262773722628
Logistic Regression,0.7757309941520467,3905.0,3367,165,748,220,0.5714285714285714,0.22727272727272727,0.3252032520325203
Logistic Regression,0.7807017543859649,3941.0,3376,156,757,211,0.5749318801089919,0.21797520661157024,0.3161048689138577
Logistic Regression,0.785672514619883,4028.0,3384,148,776,192,0.5647058823529412,0.19834710743801653,0.29357798165137616
Logistic Regression,0.7906432748538011,4087.0,3390,142,789,179,0.557632398753894,0.18491735537190082,0.27773467804499613
Logistic Regression,0.7956140350877193,4124.0,3408,124,800,168,0.5753424657534246,0.17355371900826447,0.26666666666666666
Logistic Regression,0.8005847953216374,4135.0,3417,115,804,164,0.5878136200716846,0.16942148760330578,0.26303127506014434
Logistic Regression,0.8055555555555556,4178.0,3429,103,815,153,0.59765625,0.15805785123966942,0.25
Logistic Regression,0.8105263157894737,4208.0,3439,93,823,145,0.6092436974789915,0.14979338842975207,0.24046434494195687
Logistic Regression,0.8154970760233918,4235.0,3447,85,830,138,0.6188340807174888,0.14256198347107438,0.23173803526448364
Logistic Regression,0.8204678362573099,4290.0,3452,80,842,126,0.6116504854368932,0.13016528925619836,0.21465076660988075
Logistic Regression,0.8254385964912281,4355.0,3457,75,856,112,0.5989304812834224,0.11570247933884298,0.19393939393939394
Logistic Regression,0.8304093567251462,4383.0,3464,68,863,105,0.6069364161849711,0.10847107438016529,0.18404907975460122
Logistic Regression,0.8353801169590643,4413.0,3474,58,871,97,0.6258064516129033,0.10020661157024793,0.17275155832591274
Logistic Regression,0.8403508771929824,4449.0,3483,49,880,88,0.6423357664233577,0.09090909090909091,0.1592760180995475
Logistic Regression,0.8453216374269006,4466.0,3486,46,884,84,0.6461538461538462,0.08677685950413223,0.15300546448087432
Logistic Regression,0.8502923976608187,4489.0,3493,39,890,78,0.6666666666666666,0.08057851239669421,0.14377880184331798
Logistic Regression,0.8552631578947368,4525.0,3497,35,898,70,0.6666666666666666,0.07231404958677685,0.13047530288909598
Logistic Regression,0.8602339181286549,4547.0,3505,27,904,64,0.7032967032967034,0.06611570247933884,0.12086874409820586
Logistic Regression,0.8652046783625731,4594.0,3508,24,914,54,0.6923076923076923,0.05578512396694215,0.10325047801147227
Logistic Regression,0.8701754385964912,4619.0,3508,24,919,49,0.6712328767123288,0.0506198347107438,0.0941402497598463
Logistic Regression,0.8751461988304093,4636.0,3511,21,923,45,0.6818181818181818,0.04648760330578512,0.08704061895551257
Logistic Regression,0.8801169590643274,4660.0,3512,20,928,40,0.6666666666666666,0.04132231404958678,0.07782101167315175
Logistic Regression,0.8850877192982456,4667.0,3515,17,930,38,0.6909090909090909,0.03925619834710744,0.07429130009775171
Logistic Regression,0.8900584795321637,4677.0,3520,12,933,35,0.7446808510638298,0.03615702479338843,0.06896551724137931
Logistic Regression,0.8950292397660818,4694.0,3523,9,937,31,0.775,0.03202479338842975,0.061507936507936505
Logistic Regression,0.9,4712.0,3525,7,941,27,0.7941176470588235,0.027892561983471075,0.05389221556886228
XGBoost,0.05,3461.0,81,3451,2,966,0.21870047543581617,0.9979338842975206,0.3587743732590529
XGBoost,0.05497076023391813,3457.0,95,3437,4,964,0.21904112701658715,0.9958677685950413,0.35909852859005403
XGBoost,0.05994152046783626,3447.0,115,3417,6,962,0.21968485955697648,0.993801652892562,0.35982794090144005
XGBoost,0.0649122807017544,3431.0,131,3401,6,962,0.22049048819619527,0.993801652892562,0.3609078972050272
XGBoost,0.06988304093567252,3407.0,155,3377,6,962,0.2217100714450334,0.993801652892562,0.3625400414546825
XGBoost,0.07485380116959064,3379.0,183,3349,6,962,0.22315008118765947,0.993801652892562,0.3644629664709225
XGBoost,0.07982456140350877,3358.0,209,3323,7,961,0.22432306255835668,0.9927685950413223,0.36595582635186596
XGBoost,0.0847953216374269,3335.0,237,3295,8,960,0.2256169212690952,0.9917355371900827,0.3676048248133257
XGBoost,0.08976608187134502,3319.0,263,3269,10,958,0.22663827773834871,0.9896694214876033,0.36881616939364775
XGBoost,0.09473684210526315,3289.0,298,3234,11,957,0.2283464566929134,0.9886363636363636,0.37100213219616207
XGBoost,0.09970760233918129,3273.0,324,3208,13,955,0.22940187364881096,0.9865702479338843,0.3722471253167024
XGBoost,0.10467836257309941,3237.0,360,3172,13,955,0.23140295614247638,0.9865702479338843,0.3748773307163886
XGBoost,0.10964912280701754,3222.0,385,3147,15,953,0.23243902439024391,0.984504132231405,0.3760852407261247
XGBoost,0.11461988304093566,3190.0,417,3115,15,953,0.23426745329400198,0.984504132231405,0.3784749801429706
XGBoost,0.1195906432748538,3169.0,448,3084,17,951,0.23568773234200743,0.9824380165289256,0.38017189686188285
XGBoost,0.12456140350877193,3155.0,482,3050,21,947,0.23692769577182887,0.9783057851239669,0.38147029204431016
XGBoost,0.12953216374269005,3144.0,503,3029,23,945,0.23779567186713638,0.9762396694214877,0.38243626062322944
XGBoost,0.13450292397660818,3136.0,536,2996,28,940,0.23882113821138212,0.9710743801652892,0.3833605220228385
XGBoost,0.1394736842105263,3125.0,567,2965,32,936,0.23993847731350937,0.9669421487603306,0.3844731977818854
XGBoost,0.14444444444444443,3099.0,608,2924,35,933,0.24189784806844697,0.9638429752066116,0.38673575129533677
XGBoost,0.14941520467836256,3085.0,642,2890,39,929,0.2432573972244043,0.9597107438016529,0.3881345310215166
XGBoost,0.15438596491228068,3064.0,678,2854,42,926,0.24497354497354498,0.9566115702479339,0.3900589721988206
XGBoost,0.1593567251461988,3037.0,720,2812,45,923,0.24712182061579652,0.9535123966942148,0.3925154156921114
XGBoost,0.16432748538011693,3037.0,750,2782,51,917,0.24790483914571507,0.9473140495867769,0.3929719305763874
XGBoost,0.16929824561403506,3026.0,776,2756,54,914,0.24904632152588557,0.9442148760330579,0.39413540319103063
XGBoost,0.1742690058479532,3012.0,810,2722,58,910,0.2505506607929515,0.9400826446280992,0.39565217391304347
XGBoost,0.1792397660818713,3003.0,839,2693,62,906,0.25173659349819394,0.9359504132231405,0.3967593606306109
XGBoost,0.1842105263157895,2992.0,870,2662,66,902,0.25308641975308643,0.9318181818181818,0.39805825242718446
XGBoost,0.18918128654970762,2984.0,903,2629,71,897,0.25439591605218376,0.9266528925619835,0.3991989319092123
XGBoost,0.19415204678362574,2974.0,938,2594,76,892,0.25588066551921973,0.9214876033057852,0.4005388414907948
XGBoost,0.19912280701754387,2941.0,986,2546,79,889,0.25880640465793303,0.9183884297520661,0.40381558028616854
XGBoost,0.204093567251462,2930.0,1017,2515,83,885,0.26029411764705884,0.9142561983471075,0.4052197802197802
XGBoost,0.20906432748538012,2925.0,1042,2490,87,881,0.2613467813705132,0.9101239669421488,0.406084351233003
XGBoost,0.21403508771929824,2894.0,1083,2449,89,879,0.26412259615384615,0.9080578512396694,0.4092178770949721
XGBoost,0.21900584795321637,2898.0,1109,2423,95,873,0.2648665048543689,0.9018595041322314,0.4094746716697936
XGBoost,0.2239766081871345,2882.0,1145,2387,99,869,0.2668918918918919,0.8977272727272727,0.4114583333333333
XGBoost,0.22894736842105262,2884.0,1183,2349,107,861,0.26822429906542056,0.8894628099173554,0.41215892771661083
XGBoost,0.23391812865497075,2867.0,1225,2307,112,856,0.27062914954157447,0.8842975206611571,0.41442749939481965
XGBoost,0.23888888888888887,2862.0,1255,2277,117,851,0.27205882352941174,0.8791322314049587,0.41552734375
XGBoost,0.243859649122807,2857.0,1280,2252,121,847,0.27331397224911264,0.875,0.4165232358003442
XGBoost,0.24883040935672512,2856.0,1306,2226,126,842,0.27444589308996087,0.8698347107438017,0.4172447968285431
XGBoost,0.25380116959064325,2865.0,1327,2205,132,836,0.27490956922065113,0.8636363636363636,0.41706161137440756
XGBoost,0.2587719298245614,2849.0,1358,2174,135,833,0.27702028599933487,0.8605371900826446,0.4191194968553459
XGBoost,0.2637426900584795,2843.0,1389,2143,140,828,0.278694042409963,0.8553719008264463,0.4204112718964204
XGBoost,0.2687134502923976,2845.0,1422,2110,147,821,0.2801091777550324,0.8481404958677686,0.42113362400615545
XGBoost,0.27368421052631575,2831.0,1446,2086,149,819,0.2819277108433735,0.8460743801652892,0.4229279628195198
XGBoost,0.2786549707602339,2825.0,1472,2060,153,815,0.28347826086956524,0.8419421487603306,0.42414780119698153
XGBoost,0.283625730994152,2820.0,1497,2035,157,811,0.2849613492621223,0.8378099173553719,0.4252753015207132
XGBoost,0.28859649122807013,2806.0,1526,2006,160,808,0.287135749822317,0.8347107438016529,0.4272871496562665
XGBoost,0.2935672514619883,2793.0,1559,1973,164,804,0.28952106589845156,0.8305785123966942,0.4293724966622163
XGBoost,0.29853801169590644,2768.0,1599,1933,167,801,0.29297732260424286,0.8274793388429752,0.4327390599675851
XGBoost,0.3035087719298245,2758.0,1629,1903,171,797,0.29518518518518516,0.8233471074380165,0.4345692475463468
